total_bill,tip,sex,smoker,day_,time_,size_,id
16.99,1.01,female,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2001
10.34,1.66,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2002
21.01,3.5,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2003
23.68,3.31,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2004
24.59,3.61,female,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2005
25.29,4.71,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2006
8.77,2,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2007
26.88,3.12,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2008
15.04,1.96,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2009
14.78,3.23,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2010
10.27,1.71,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2011
35.26,5,female,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2012
15.42,1.57,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2013
18.43,3,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2014
14.83,3.02,female,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2015
21.58,3.92,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2016
10.33,1.67,female,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2017
16.29,3.71,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2018
16.97,3.5,female,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2019
20.65,3.35,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2020
17.92,4.08,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2021
20.29,2.75,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2022
15.77,2.23,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2023
39.42,7.58,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2024
19.82,3.18,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2025
17.81,2.34,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2026
13.37,2,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2027
12.69,2,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2028
21.7,4.3,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2029
19.65,3,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2030
9.55,1.45,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2031
18.35,2.5,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2032
